# source: papers/2026-06-emission-gap/emission_gap_paper.tex; generated by: code/2026-06-emission-gap/mahler_gap.py
b,c,mahler_measure,in_open_gap_1_phi
-3,-9,9.000000000000000,False
-3,-8,8.000000000000000,False
-3,-7,7.000000000000000,False
-3,-6,6.000000000000000,False
-3,-5,5.000000000000000,False
-3,-4,4.000000000000000,False
-3,-3,3.791287847477920,False
-3,-2,3.561552812808830,False
-3,-1,3.302775637731995,False
-3,0,3.000000000000000,False
-3,1,2.618033988749895,False
-3,2,2.000000000000000,False
-3,3,3.000000000000000,False
-3,4,4.000000000000000,False
-3,5,5.000000000000000,False
-3,6,6.000000000000000,False
-3,7,7.000000000000000,False
-3,8,8.000000000000000,False
-3,9,9.000000000000000,False
-3,10,10.00000000000000,False
-3,11,11.00000000000000,False
-3,12,12.00000000000000,False
-2,-12,12.00000000000000,False
-2,-11,11.00000000000000,False
-2,-10,10.00000000000000,False
-2,-9,9.000000000000000,False
-2,-8,8.000000000000000,False
-2,-7,7.000000000000000,False
-2,-6,6.000000000000000,False
-2,-5,5.000000000000000,False
-2,-4,4.000000000000000,False
-2,-3,3.000000000000000,False
-2,-2,2.732050807568877,False
-2,-1,2.414213562373095,False
-2,0,2.000000000000000,False
-2,1,1.000000000000000,False
-2,2,2.000000000000000,False
-2,3,3.000000000000000,False
-2,4,4.000000000000000,False
-2,5,5.000000000000000,False
-2,6,6.000000000000000,False
-2,7,7.000000000000000,False
-2,8,8.000000000000000,False
-2,9,9.000000000000000,False
-2,10,10.00000000000000,False
-2,11,11.00000000000000,False
-2,12,12.00000000000000,False
-1,-12,12.00000000000000,False
-1,-11,11.00000000000000,False
-1,-10,10.00000000000000,False
-1,-9,9.000000000000000,False
-1,-8,8.000000000000000,False
-1,-7,7.000000000000000,False
-1,-6,6.000000000000000,False
-1,-5,5.000000000000000,False
-1,-4,4.000000000000000,False
-1,-3,3.000000000000000,False
-1,-2,2.000000000000000,False
-1,-1,1.618033988749895,False
-1,0,1.000000000000000,False
-1,1,1.000000000000000,False
-1,2,2.000000000000000,False
-1,3,3.000000000000000,False
-1,4,4.000000000000000,False
-1,5,5.000000000000000,False
-1,6,6.000000000000000,False
-1,7,7.000000000000000,False
-1,8,8.000000000000000,False
-1,9,9.000000000000000,False
-1,10,10.00000000000000,False
-1,11,11.00000000000000,False
-1,12,12.00000000000000,False
0,-12,12.00000000000000,False
0,-11,11.00000000000000,False
0,-10,10.00000000000000,False
0,-9,9.000000000000000,False
0,-8,8.000000000000000,False
0,-7,7.000000000000000,False
0,-6,6.000000000000000,False
0,-5,5.000000000000000,False
0,-4,4.000000000000000,False
0,-3,3.000000000000000,False
0,-2,2.000000000000000,False
0,-1,1.000000000000000,False
0,0,1.000000000000000,False
0,1,1.000000000000000,False
0,2,2.000000000000000,False
0,3,3.000000000000000,False
0,4,4.000000000000000,False
0,5,5.000000000000000,False
0,6,6.000000000000000,False
0,7,7.000000000000000,False
0,8,8.000000000000000,False
0,9,9.000000000000000,False
0,10,10.00000000000000,False
0,11,11.00000000000000,False
0,12,12.00000000000000,False
1,-12,12.00000000000000,False
1,-11,11.00000000000000,False
1,-10,10.00000000000000,False
1,-9,9.000000000000000,False
1,-8,8.000000000000000,False
1,-7,7.000000000000000,False
1,-6,6.000000000000000,False
1,-5,5.000000000000000,False
1,-4,4.000000000000000,False
1,-3,3.000000000000000,False
1,-2,2.000000000000000,False
1,-1,1.618033988749895,False
1,0,1.000000000000000,False
1,1,1.000000000000000,False
1,2,2.000000000000000,False
1,3,3.000000000000000,False
1,4,4.000000000000000,False
1,5,5.000000000000000,False
1,6,6.000000000000000,False
1,7,7.000000000000000,False
1,8,8.000000000000000,False
1,9,9.000000000000000,False
1,10,10.00000000000000,False
1,11,11.00000000000000,False
1,12,12.00000000000000,False
2,-12,12.00000000000000,False
2,-11,11.00000000000000,False
2,-10,10.00000000000000,False
2,-9,9.000000000000000,False
2,-8,8.000000000000000,False
2,-7,7.000000000000000,False
2,-6,6.000000000000000,False
2,-5,5.000000000000000,False
2,-4,4.000000000000000,False
2,-3,3.000000000000000,False
2,-2,2.732050807568877,False
