# source: papers/2026-06-lehmers-box/lehmers_box.tex; generated by: code/2026-06-lehmers-box/floor_wall.py
b,c,discriminant,mahler_measure,in_open_strip_1_phi,is_minimiser_above_1
-1,-8,33,8.0,False,False
-1,-7,29,7.0,False,False
-1,-6,25,6.0,False,False
-1,-5,21,5.0,False,False
-1,-4,17,4.0,False,False
-1,-3,13,3.0,False,False
-1,-2,9,2.0,False,False
-1,-1,5,1.61803398874989485,False,True
-1,0,1,1.0,False,False
-1,1,-3,1.0,False,False
-1,2,-7,2.0,False,False
-1,3,-11,3.0,False,False
-1,4,-15,4.0,False,False
-1,5,-19,5.0,False,False
-1,6,-23,6.0,False,False
-1,7,-27,7.0,False,False
-1,8,-31,8.0,False,False
-1,9,-35,9.0,False,False
-1,10,-39,10.0,False,False
-1,11,-43,11.0,False,False
-1,12,-47,12.0,False,False
0,-12,48,12.0,False,False
0,-11,44,11.0,False,False
0,-10,40,10.0,False,False
0,-9,36,9.0,False,False
0,-8,32,8.0,False,False
0,-7,28,7.0,False,False
0,-6,24,6.0,False,False
0,-5,20,5.0,False,False
0,-4,16,4.0,False,False
0,-3,12,3.0,False,False
0,-2,8,2.0,False,False
0,-1,4,1.0,False,False
0,0,0,1.0,False,False
0,1,-4,1.0,False,False
0,2,-8,2.0,False,False
0,3,-12,3.0,False,False
0,4,-16,4.0,False,False
0,5,-20,5.0,False,False
0,6,-24,6.0,False,False
0,7,-28,7.0,False,False
0,8,-32,8.0,False,False
0,9,-36,9.0,False,False
0,10,-40,10.0,False,False
0,11,-44,11.0,False,False
0,12,-48,12.0,False,False
1,-12,49,12.0,False,False
1,-11,45,11.0,False,False
1,-10,41,10.0,False,False
1,-9,37,9.0,False,False
1,-8,33,8.0,False,False
1,-7,29,7.0,False,False
1,-6,25,6.0,False,False
1,-5,21,5.0,False,False
1,-4,17,4.0,False,False
1,-3,13,3.0,False,False
1,-2,9,2.0,False,False
1,-1,5,1.61803398874989485,False,True
1,0,1,1.0,False,False
1,1,-3,1.0,False,False
1,2,-7,2.0,False,False
1,3,-11,3.0,False,False
1,4,-15,4.0,False,False
1,5,-19,5.0,False,False
1,6,-23,6.0,False,False
1,7,-27,7.0,False,False
1,8,-31,8.0,False,False
1,9,-35,9.0,False,False
1,10,-39,10.0,False,False
1,11,-43,11.0,False,False
1,12,-47,12.0,False,False
2,-12,52,12.0,False,False
2,-11,48,11.0,False,False
2,-10,44,10.0,False,False
2,-9,40,9.0,False,False
2,-8,36,8.0,False,False
2,-7,32,7.0,False,False
2,-6,28,6.0,False,False
2,-5,24,5.0,False,False
2,-4,20,4.0,False,False
2,-3,16,3.0,False,False
2,-2,12,2.73205080756887729,False,False
2,-1,8,2.41421356237309505,False,False
2,0,4,2.0,False,False
2,1,0,1.0,False,False
2,2,-4,2.0,False,False
2,3,-8,3.0,False,False
2,4,-12,4.0,False,False
2,5,-16,5.0,False,False
2,6,-20,6.0,False,False
2,7,-24,7.0,False,False
2,8,-28,8.0,False,False
2,9,-32,9.0,False,False
2,10,-36,10.0,False,False
2,11,-40,11.0,False,False
2,12,-44,12.0,False,False
3,-12,57,12.0,False,False
3,-11,53,11.0,False,False
3,-10,49,10.0,False,False
3,-9,45,9.0,False,False
3,-8,41,8.0,False,False
3,-7,37,7.0,False,False
3,-6,33,6.0,False,False
3,-5,29,5.0,False,False
3,-4,25,4.0,False,False
3,-3,21,3.79128784747792,False,False
3,-2,17,3.56155281280883027,False,False
3,-1,13,3.30277563773199465,False,False
3,0,9,3.0,False,False
3,1,5,2.61803398874989485,False,False
3,2,1,2.0,False,False
3,3,-3,3.0,False,False
3,4,-7,4.0,False,False
3,5,-11,5.0,False,False
3,6,-15,6.0,False,False
3,7,-19,7.0,False,False
3,8,-23,8.0,False,False
3,9,-27,9.0,False,False
3,10,-31,10.0,False,False
3,11,-35,11.0,False,False
3,12,-39,12.0,False,False
4,-12,64,12.0,False,False
4,-11,60,11.0,False,False
4,-10,56,10.0,False,False
4,-9,52,9.0,False,False
4,-8,48,8.0,False,False
4,-7,44,7.0,False,False
4,-6,40,6.0,False,False
4,-5,36,5.0,False,False
4,-4,32,4.8284271247461901,False,False
4,-3,28,4.64575131106459059,False,False
4,-2,24,4.4494897427831781,False,False
4,-1,20,4.2360679774997897,False,False
4,0,16,4.0,False,False
4,1,12,3.73205080756887729,False,False
4,2,8,3.41421356237309505,False,False
4,3,4,3.0,False,False
4,4,0,4.0,False,False
4,5,-4,5.0,False,False
4,6,-8,6.0,False,False
4,7,-12,7.0,False,False
4,8,-16,8.0,False,False
4,9,-20,9.0,False,False
4,10,-24,10.0,False,False
4,11,-28,11.0,False,False
4,12,-32,12.0,False,False
5,-12,73,12.0,False,False
5,-11,69,11.0,False,False
5,-10,65,10.0,False,False
5,-9,61,9.0,False,False
5,-8,57,8.0,False,False
5,-7,53,7.0,False,False
5,-6,49,6.0,False,False
5,-5,45,5.85410196624968454,False,False
5,-4,41,5.70156211871642434,False,False
5,-3,37,5.54138126514910984,False,False
5,-2,33,5.37228132326901433,False,False
5,-1,29,5.19258240356725202,False,False
5,0,25,5.0,False,False
5,1,21,4.79128784747792,False,False
5,2,17,4.56155281280883027,False,False
5,3,13,4.30277563773199465,False,False
5,4,9,4.0,False,False
5,5,5,5.0,False,False
5,6,1,6.0,False,False
5,7,-3,7.0,False,False
5,8,-7,8.0,False,False
5,9,-11,9.0,False,False
5,10,-15,10.0,False,False
5,11,-19,11.0,False,False
5,12,-23,12.0,False,False
6,-12,84,12.0,False,False
6,-11,80,11.0,False,False
6,-10,76,10.0,False,False
6,-9,72,9.0,False,False
6,-8,68,8.0,False,False
6,-7,64,7.0,False,False
6,-6,60,6.87298334620741689,False,False
6,-5,56,6.74165738677394139,False,False
6,-4,52,6.60555127546398929,False,False
6,-3,48,6.46410161513775459,False,False
6,-2,44,6.31662479035539985,False,False
6,-1,40,6.16227766016837933,False,False
6,0,36,6.0,False,False
6,1,32,5.8284271247461901,False,False
6,2,28,5.64575131106459059,False,False
6,3,24,5.4494897427831781,False,False
6,4,20,5.2360679774997897,False,False
6,5,16,5.0,False,False
6,6,12,6.0,False,False
6,7,8,7.0,False,False
6,8,4,8.0,False,False
6,9,0,9.0,False,False
6,10,-4,10.0,False,False
6,11,-8,11.0,False,False
6,12,-12,12.0,False,False
7,-12,97,12.0,False,False
7,-11,93,11.0,False,False
7,-10,89,10.0,False,False
7,-9,85,9.0,False,False
7,-8,81,8.0,False,False
7,-7,77,7.88748219369606103,False,False
7,-6,73,7.77200187265876558,False,False
7,-5,69,7.65331193145903743,False,False
7,-4,65,7.53112887414927483,False,False
7,-3,61,7.4051248379533272,False,False
7,-2,57,7.27491721763537485,False,False
7,-1,53,7.14005494464025914,False,False
7,0,49,7.0,False,False
7,1,45,6.85410196624968454,False,False
7,2,41,6.70156211871642434,False,False
7,3,37,6.54138126514910984,False,False
7,4,33,6.37228132326901433,False,False
7,5,29,6.19258240356725202,False,False
7,6,25,6.0,False,False
7,7,21,7.0,False,False
7,8,17,8.0,False,False
7,9,13,9.0,False,False
7,10,9,10.0,False,False
7,11,5,11.0,False,False
7,12,1,12.0,False,False
8,-12,112,12.0,False,False
8,-11,108,11.0,False,False
8,-10,104,10.0,False,False
8,-9,100,9.0,False,False
8,-8,96,8.8989794855663562,False,False
8,-7,92,8.79583152331271954,False,False
8,-6,88,8.69041575982342955,False,False
8,-5,84,8.58257569495584001,False,False
8,-4,80,8.47213595499957939,False,False
8,-3,76,8.35889894354067355,False,False
8,-2,72,8.24264068711928515,False,False
8,-1,68,8.12310562561766055,False,False
8,0,64,8.0,False,False
8,1,60,7.87298334620741689,False,False
8,2,56,7.74165738677394139,False,False
8,3,52,7.60555127546398929,False,False
8,4,48,7.46410161513775459,False,False
8,5,44,7.31662479035539985,False,False
8,6,40,7.16227766016837933,False,False
8,7,36,7.0,False,False
8,8,32,8.0,False,False
8,9,28,9.0,False,False
8,10,24,10.0,False,False
8,11,20,11.0,False,False
8,12,16,12.0,False,False
9,-12,129,12.0,False,False
9,-11,125,11.0,False,False
9,-10,121,10.0,False,False
9,-9,117,9.90832691319598394,False,False
9,-8,113,9.8150729063673247,False,False
9,-7,109,9.72015325445527509,False,False
9,-6,105,9.62347538297979919,False,False
9,-5,101,9.52493781056044514,False,False
9,-4,97,9.42442890089805236,False,False
9,-3,93,9.3218253804964775,False,False
9,-2,89,9.21699056602830191,False,False
9,-1,85,9.10977222864644366,False,False
9,0,81,9.0,False,False
9,1,77,8.88748219369606103,False,False
9,2,73,8.77200187265876558,False,False
9,3,69,8.65331193145903743,False,False
9,4,65,8.53112887414927483,False,False
9,5,61,8.4051248379533272,False,False
9,6,57,8.27491721763537485,False,False
9,7,53,8.14005494464025914,False,False
9,8,49,8.0,False,False
9,9,45,9.0,False,False
9,10,41,10.0,False,False
9,11,37,11.0,False,False
9,12,33,12.0,False,False
10,-12,148,12.0,False,False
10,-11,144,11.0,False,False
10,-10,140,10.916079783099616,False,False
10,-9,136,10.8309518948453005,False,False
10,-8,132,10.7445626465380287,False,False
10,-7,128,10.6568542494923802,False,False
10,-6,124,10.5677643628300219,False,False
10,-5,120,10.4772255750516611,False,False
10,-4,116,10.385164807134504,False,False
10,-3,112,10.2915026221291812,False,False
10,-2,108,10.1961524227066319,False,False
10,-1,104,10.0990195135927848,False,False
10,0,100,10.0,False,False
10,1,96,9.8989794855663562,False,False
10,2,92,9.79583152331271954,False,False
10,3,88,9.69041575982342955,False,False
10,4,84,9.58257569495584001,False,False
10,5,80,9.47213595499957939,False,False
10,6,76,9.35889894354067355,False,False
10,7,72,9.24264068711928515,False,False
10,8,68,9.12310562561766055,False,False
10,9,64,9.0,False,False
10,10,60,10.0,False,False
10,11,56,11.0,False,False
10,12,52,12.0,False,False
